"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000006015",782.42697046381,-1.11158816043152e-05,0.00144249440367067,0.379298188624526,0.686251160925093
"ENSG00000006016",42.2011730677286,-8.08664312277579e-06,0.00144268240278917,0.0522406472207876,0.260062179732941
"ENSG00000006025",635.648500327272,-2.80362366113674e-05,0.00144271451110673,0.00229768255771775,0.0582524981194334
"ENSG00000006042",1322.12690144937,-9.02800088919062e-06,0.00144269012795726,0.0264428735201223,0.18489727530423
"ENSG00000006047",5.4722911964554,9.6053236676618e-07,0.00144269166412599,0.548194129086254,NA
"ENSG00000006062",292.741541249686,-1.21664241944299e-05,0.00144258226500131,0.223026464440734,0.534496220103648
"ENSG00000006071",12.6644781399492,-3.15532573622915e-06,0.00144266511683168,0.509720869029302,0.777471250273596
"ENSG00000006118",3490.26033565587,1.50507049576381e-06,0.00144263620996947,0.819037084870662,0.93553548714615
"ENSG00000006125",14356.273216327,-2.32548159334508e-05,0.00144242747701423,0.149546863041594,0.438053977921886
"ENSG00000006194",835.919708317733,2.32930983224668e-05,0.00144231616301149,0.165503339851746,0.461198541414902
"ENSG00000006210",246.97292823955,-1.9443390221953e-06,0.00144268876364394,0.384130012013745,0.689868353223028
"ENSG00000006282",2320.46143417441,-0.30366291334056,0.645024798436048,0.00484912151266541,0.0839036089861882
"ENSG00000006283",1.97891148337052,-8.17914903736736e-07,0.00144269154350034,0.612774927205557,NA
"ENSG00000006327",1856.13881433827,-5.316237248661e-06,0.0014426846332677,0.11038587342736,0.377181514007886
"ENSG00000006432",27.9625223957791,5.67801335104359e-06,0.00144268824809728,0.0591157870848205,0.276535571308372
"ENSG00000006451",10457.5576356096,-1.1701862677886e-05,0.00144269178919969,0.0148259335014268,0.139238115410047
"ENSG00000006453",126.892817531642,-8.76288501629384e-06,0.00144268794385076,0.0231418681521065,0.173880488543403
"ENSG00000006459",756.682152723114,1.24805135855678e-05,0.00144265007200992,0.0839179040434658,0.329725500401919
"ENSG00000006468",519.998801934955,5.46152654447221e-06,0.00144267082321707,0.237045239534051,0.549688394266404
"ENSG00000006530",1386.90652348921,1.72311753534414e-05,0.0014426559366507,0.0299435840331851,0.19724256313298
"ENSG00000006534",124.269233435108,-1.58163000997975e-06,0.00144268110758208,0.621519814905138,0.84444162385553
"ENSG00000006555",8.41091005115485,5.66190039753292e-06,0.00144267759920782,0.165444007506964,NA
"ENSG00000006576",1016.13439239177,-3.04740643063937e-06,0.00144262815255384,0.869742428235914,0.953245025481079
"ENSG00000006606",2.36919731538284,-5.92467377030078e-07,0.00144269362079004,0.564600479876005,NA
"ENSG00000006607",1638.89467922435,6.13643445110895e-06,0.00144249765572341,0.613513323533445,0.839688612978647
"ENSG00000006625",549.985193935549,1.1930769784673e-05,0.00144257266825617,0.435610941709196,0.727985785027767
"ENSG00000006634",446.914093420251,-8.28246066242159e-06,0.00144267110606642,0.998065249934498,0.999391121381223
"ENSG00000006638",200.407958678276,6.24261492577674e-06,0.00144268030467948,0.114430177677754,0.384450122826214
"ENSG00000006652",244.774736778655,8.82496468696941e-06,0.00144265391409675,0.160713618307836,0.453936746696528
"ENSG00000006695",453.926768859468,1.96383867456356e-06,0.00144252289328207,0.281246129154348,0.59684040849925
"ENSG00000006704",706.069122304045,-0.13811593118811,0.149158866090421,0.00401032849539862,0.0757279921343917
