"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSG00000122644",1886.91072725974,1.21289648352502,0.406532867841031,9.81366259787024e-05,0.0147247210817536,"ARL4A"
"ENSG00000063660",2869.7004621862,-1.17286890649582,0.405050676458788,0.000105957217663626,0.0149687071330853,"GPC1"
"ENSG00000104368",3296.45118545652,-1.28455579847708,0.444622715736704,0.000111494681778582,0.0149687071330853,"PLAT"
"ENSG00000153253",1018.65436236492,2.2642335306784,0.772884248515444,0.000109241703003256,0.0149687071330853,"SCN3A"
"ENSG00000163687",106.452758199736,-3.55059698387769,0.553109312190346,0.000106850395249573,0.0149687071330853,"DNASE1L3"
"ENSG00000185885",34.0947635054353,-1.06168253738097,0.364707837678319,0.000109231021938316,0.0149687071330853,"IFITM1"
"ENSG00000283511",28.0607543429135,-1.27491515802706,0.433934552252721,0.000103103367353671,0.0149687071330853,NA
"ENSG00000223552",22.4050681981382,-1.65309751328262,0.574489827394171,0.000116405431646148,0.0152911447730311,"CCR5AS"
"ENSG00000183615",182.141581523289,-1.73579141789651,0.610475816268887,0.000121464015982026,0.0157150927516358,"FAM167B"
"ENSG00000178015",39.7725972387777,-1.45963162143833,0.515801941104036,0.000131877894646575,0.0166332031398894,"GPR150"
"ENSG00000091972",523.276814489689,1.27922035142524,0.45286136604789,0.000156467495966896,0.0167796746744392,"CD200"
"ENSG00000103647",310.683039374523,-1.15992666714279,0.411780239640058,0.000139960379829254,0.0167796746744392,"CORO2B"
"ENSG00000111341",3076.94842704263,1.22746047470333,0.431535240976418,0.000151985913812349,0.0167796746744392,"MGP"
"ENSG00000125285",103.693958998701,2.70770358768325,0.969478417555269,0.00015029686148568,0.0167796746744392,"SOX21"
"ENSG00000135378",123.906131955977,1.08625721479816,0.385710651069114,0.000154433467128352,0.0167796746744392,"PRRG4"
"ENSG00000157766",37.1325682592699,-1.82291007653188,0.653280296751522,0.000141903325830626,0.0167796746744392,"ACAN"
"ENSG00000276128",12.7627590650713,1.20813088150371,0.427496813112986,0.00014440480317963,0.0167796746744392,"GXYLT1P5"
"ENSG00000164530",11.0514213457078,2.12161194087961,0.76019653184668,0.000162055923308513,0.0168606021197673,"PI16"
"ENSG00000178662",59.6647636712293,1.67611747428672,0.600580037670921,0.000162503423640281,0.0168606021197673,"CSRNP3"
"ENSG00000197147",1047.3201923082,-1.07614160519865,0.39033804709117,0.000166192606842259,0.0169179012061658,"LRRC8B"
